股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        6.62        6.65        6.47        6.46        7.10        5.82        -           -           96          
2303        聯電        15.00       15.05       14.80       14.95       16.40       13.50       14.80       5867        55520       
2329        華泰        12.65       12.65       12.05       12.35       13.55       11.15       12.15       105         2313        
2330        台積電      309.00      310.50      302.00      307.00      337.50      276.50      302.00      7096        61705       
2337        旺宏        34.80       35.05       33.15       34.80       38.25       31.35       33.40       3038        46681       
2338        光罩        30.65       30.70       28.85       30.35       33.35       27.35       28.85       951         30031       
2342        茂矽        30.60       30.90       27.80       30.60       33.65       27.55       28.40       1005        21320       
2344        華邦電      16.15       16.20       15.65       16.15       17.75       14.55       15.65       1745        24146       
2351        順德        56.70       57.30       54.70       56.50       62.10       50.90       54.70       35          374         
2363        矽統        7.76        7.80        7.46        7.71        8.48        6.94        7.46        158         1510        
2369        菱生        11.10       11.10       10.50       11.00       12.10       9.90        10.55       94          2524        
2379        瑞昱        227.50      230.00      225.00      228.00      250.50      205.50      225.00      431         4735        
2388        威盛        27.00       27.55       26.10       26.95       29.60       24.30       26.20       32          541         
2401        凌陽        10.75       10.80       10.50       10.65       11.70       9.59        10.50       77          1175        
2408        南亞科      75.50       75.60       72.60       74.90       82.30       67.50       72.60       642         8668        
2434        統懋        6.76        6.80        6.76        6.90        7.59        6.21        -           -           3           
2436        偉詮電      24.20       24.60       23.35       24.00       26.40       21.60       23.50       72          1570        
2441        超豐        45.70       46.20       45.05       45.55       50.10       41.00       45.55       79          616         
2449        京元電子    33.45       34.15       33.30       33.30       36.60       30.00       33.50       257         6950        
2451        創見        77.00       77.20       76.00       76.40       84.00       68.80       76.00       46          929         
2454        聯發科      373.50      377.00      362.00      373.50      410.50      336.50      363.00      751         9322        
2458        義隆        87.00       87.50       84.20       86.40       95.00       77.80       84.30       350         6949        
2481        強茂        24.80       25.00       23.70       24.75       27.20       22.30       23.95       90          1704        
3006        晶豪科      35.50       37.25       35.50       34.00       37.40       30.60       36.00       578         10841       
3014        聯陽        48.00       48.00       45.80       47.00       51.70       42.30       46.20       141         4204        
3016        嘉晶        55.60       56.10       53.10       55.60       61.10       50.10       54.20       739         19918       
3034        聯詠        196.00      199.00      192.50      194.00      213.00      175.00      193.00      226         3536        
3035        智原        44.00       44.50       42.30       43.80       48.15       39.45       42.35       79          1477        
3041        揚智        17.70       18.85       17.70       17.15       18.85       15.45       18.20       238         16769       
3054        立萬利      26.00       26.60       25.25       25.40       27.90       22.90       25.40       4           115         
3094        聯傑        18.45       18.95       18.25       18.75       20.60       16.90       18.75       50          838         
