股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        7.20        7.20        7.09        7.20        7.92        6.48        7.09        12          154         
2303        聯電        16.25       16.50       16.10       16.10       17.70       14.50       16.30       4332        41242       
2329        華泰        13.30       13.40       13.20       13.25       14.55       11.95       13.20       90          994         
2330        台積電      328.00      329.00      325.00      326.50      359.00      294.00      325.50      3720        26890       
2337        旺宏        35.80       36.30       35.55       35.35       38.85       31.85       35.60       5008        88345       
2338        光罩        31.50       32.30       31.25       31.10       34.20       28.00       31.70       409         7475        
2342        茂矽        21.90       22.30       21.10       21.90       24.05       19.75       21.40       297         4403        
2344        華邦電      16.65       17.20       16.65       16.45       18.05       14.85       17.15       2723        49293       
2351        順德        62.70       63.20       62.30       62.50       68.70       56.30       62.50       9           420         
2363        矽統        7.90        8.05        7.88        7.87        8.65        7.09        7.92        72          1762        
2369        菱生        10.70       10.75       10.45       10.55       11.60       9.50        10.55       30          949         
2379        瑞昱        256.00      257.00      249.50      254.50      279.50      229.50      249.50      254         2207        
2388        威盛        30.80       30.95       30.50       30.75       33.80       27.70       30.50       62          474         
2401        凌陽        12.05       12.10       11.95       11.95       13.10       10.80       11.95       86          1024        
2408        南亞科      85.80       85.90       83.20       84.80       93.20       76.40       83.60       740         15431       
2434        統懋        7.05        7.05        7.04        7.03        7.73        6.33        -           -           33          
2436        偉詮電      23.20       23.30       22.90       23.00       25.30       20.70       23.30       16          315         
2441        超豐        48.55       48.60       48.30       48.50       53.30       43.65       48.55       20          421         
2449        京元電子    34.95       35.10       34.65       34.70       38.15       31.25       34.85       162         2910        
2451        創見        79.30       80.00       79.30       79.50       87.40       71.60       79.50       6           300         
2454        聯發科      391.50      394.00      387.50      388.50      427.00      350.00      394.00      828         8153        
2458        義隆        89.30       89.50       88.20       88.50       97.30       79.70       88.50       135         2036        
2481        強茂        25.45       25.50       25.05       25.15       27.65       22.65       25.10       48          918         
3006        晶豪科      35.90       36.95       35.85       35.70       39.25       32.15       36.95       278         2899        
3014        聯陽        41.55       42.30       41.50       41.50       45.65       37.35       42.25       62          1878        
3016        嘉晶        52.10       53.00       51.50       52.10       57.30       46.90       51.90       336         4092        
3034        聯詠        211.50      212.00      207.50      213.00      234.00      192.00      208.50      592         8934        
3035        智原        48.65       48.95       48.00       48.60       53.40       43.75       48.15       140         2196        
3041        揚智        17.55       18.15       17.50       17.45       19.15       15.75       17.95       75          2572        
3054        立萬利      25.10       25.10       24.30       24.75       27.20       22.30       24.45       2           32          
3094        聯傑        18.15       18.25       18.10       18.10       19.90       16.30       18.15       6           169         
3189        景碩        54.30       54.60       53.90       53.70       59.00       48.35       54.10       426         8335        
3257        虹冠電      55.20       55.60       54.90       55.20       60.70       49.70       55.00       11          142         
3413        京鼎        188.00      195.50      188.00      186.00      204.50      167.50      190.00      180         3110        
3443        創意        240.00      241.50      238.00      238.00      261.50      214.50      238.50      38          446         
3530        晶相光      115.00      117.50      112.50      111.50      122.50      100.50      112.50      497         8248        
3532        台勝科      142.50      148.50      141.50      144.00      158.00      130.00      148.00      309         7230        
3536        誠創        5.10        5.10        4.70        5.03        5.53        4.53        5.10        10          18          
3545        敦泰        31.50       32.20       31.00       31.80       34.95       28.65       31.30       684         11023       
3583        辛耘        57.50       58.20       57.40       56.80       62.40       51.20       57.80       11          478         
3588        通嘉        28.55       29.30       28.45       28.45       31.25       25.65       29.00       19          354         
3661        世芯-KY     218.00      225.00      216.50      216.50      238.00      195.00      224.00      568         6823        
3686        達能        4.23        4.34        4.23        4.29        4.71        3.87        -           -           76          
3711        日月光投控  77.40       77.40       75.30       76.40       84.00       68.80       75.60       540         4366        
4919        新唐        44.00       45.25       43.95       42.20       46.40       38.00       44.10       208         4097        
4952        凌通        30.70       30.75       30.45       30.65       33.70       27.60       30.50       20          133         
4961        天鈺        34.80       34.80       34.15       34.50       37.95       31.05       34.15       34          337         
4967        十銓        40.60       41.95       40.00       39.30       43.20       35.40       40.00       559         13271       
4968        立積        167.00      168.00      164.50      164.50      180.50      148.50      166.00      212         2565        
5269        祥碩        918.00      918.00      889.00      902.00      992.00      812.00      903.00      58          598         
5285        界霖        59.50       59.50       58.70       58.90       64.70       53.10       58.70       13          190         
5305        敦南        41.15       41.15       41.05       41.10       45.20       37.00       41.10       22          119         
5471        松翰        34.35       34.45       33.85       33.95       37.30       30.60       34.05       23          496         
6202        盛群        68.70       68.90       68.30       68.40       75.20       61.60       68.40       32          261         
