股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        7.05        7.05        6.90        7.05        7.75        6.35        7.02        5           132
2303        聯電        15.50       16.00       15.50       15.50       17.05       13.95       15.80       7717        84664
2329        華泰        12.90       12.95       12.65       12.90       14.15       11.65       12.80       72          1964        
2330        台積電      322.00      322.00      317.00      317.50      349.00      286.00      320.50      5571        42792       
2337        旺宏        32.85       33.60       32.20       32.85       36.10       29.60       33.50       2408        57998       
2338        光罩        28.60       29.35       28.30       28.75       31.60       25.90       29.05       161         3963        
2342        茂矽        30.35       30.40       29.30       29.80       32.75       26.85       29.80       1085        11363       
2344        華邦電      16.20       16.60       16.10       16.30       17.90       14.70       16.60       1226        17029       
2351        順德        59.60       59.60       57.70       58.70       64.50       52.90       58.00       41          528         
2363        矽統        7.43        7.85        7.42        7.50        8.25        6.75        7.80        268         3195        
2369        菱生        10.80       11.15       10.70       10.75       11.80       9.68        11.15       480         3801        
2379        瑞昱        228.50      231.00      223.50      228.50      251.00      206.00      229.00      329         3702        
2388        威盛        28.80       28.95       28.35       28.80       31.65       25.95       28.75       25          633         
2401        凌陽        11.10       11.20       10.90       11.10       12.20       9.99        11.20       78          988         
2408        南亞科      78.30       78.80       77.00       77.80       85.50       70.10       78.60       855         11673       
2434        統懋        7.00        7.00        7.00        7.00        7.70        6.30        7.00        1           16          
2436        偉詮電      22.70       22.75       22.20       22.40       24.60       20.20       22.40       20          373         
2441        超豐        46.25       47.00       46.10       46.70       51.30       42.05       46.95       11          711         
2449        京元電子    33.40       34.30       33.10       33.50       36.85       30.15       34.05       396         5660        
2451        創見        79.20       79.50       78.90       80.00       88.00       72.00       79.30       9           465         
2454        聯發科      371.50      372.50      364.00      372.00      409.00      335.00      370.50      1156        10882       
2458        義隆        86.30       86.80       85.60       86.60       95.20       78.00       86.60       112         2454        
2481        強茂        25.25       25.65       24.90       25.10       27.60       22.60       25.65       94          1939        
3006        晶豪科      35.60       36.00       35.05       35.55       39.10       32.00       35.85       87          1786        
3014        聯陽        45.60       46.90       45.30       45.20       49.70       40.70       45.90       196         6369        
3016        嘉晶        54.30       55.90       53.40       54.10       59.50       48.70       55.90       780         9223        
3034        聯詠        200.00      203.50      198.50      201.50      221.50      181.50      203.50      369         4151        
3035        智原        45.10       45.35       44.55       45.55       50.10       41.00       45.05       129         1955        
3041        揚智        17.50       18.40       17.45       17.45       19.15       15.75       17.95       141         3810        
3054        立萬利      24.10       24.20       23.80       24.10       26.50       21.70       -           -           22          
3094        聯傑        19.05       19.25       18.75       18.85       20.70       17.00       19.05       29          545         
3189        景碩        52.40       53.10       51.60       52.60       57.80       47.35       52.70       138         3444        
3257        虹冠電      53.80       53.80       53.20       54.00       59.40       48.60       53.50       3           44          
3413        京鼎        168.00      169.00      163.00      167.50      184.00      151.00      163.50      62          659         
