股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        7.00        7.01        6.90        7.02        7.72        6.32        6.90        4           158
2303        聯電        15.55       15.60       15.40       15.70       17.25       14.15       15.45       5246        69410
2329        華泰        13.15       13.40       13.10       13.40       14.70       12.10       13.30       74          2343
2330        台積電      320.00      320.50      315.00      323.00      355.00      291.00      315.00      6922        51305
2337        旺宏        34.50       34.95       34.30       35.00       38.50       31.50       34.95       2094        40549
2338        光罩        29.20       29.50       28.80       29.55       32.50       26.60       28.95       98          2106
2342        茂矽        29.60       30.25       28.20       29.40       32.30       26.50       28.20       877         11627
2344        華邦電      16.45       16.60       16.20       16.65       18.30       15.00       16.25       1427        16529
2351        順德        59.00       59.40       57.90       59.00       64.90       53.10       58.20       12          314
2363        矽統        7.86        7.98        7.77        7.97        8.76        7.18        7.98        209         2585
2369        菱生        10.90       11.05       10.75       11.05       12.15       9.95        10.80       127         1959
2379        瑞昱        235.00      238.50      235.00      237.50      261.00      214.00      236.00      327         2714
2388        威盛        28.70       28.90       28.40       29.00       31.90       26.10       28.55       35          578
2401        凌陽        11.10       11.20       11.05       11.20       12.30       10.10       11.10       96          1117
2408        南亞科      78.70       79.50       77.50       80.10       88.10       72.10       78.50       589         9862
2434        統懋        7.00        7.00        7.00        7.00        7.70        6.30        -           -           24
2436        偉詮電      22.65       24.85       22.65       22.60       24.85       20.35       24.85       29          4385
2441        超豐        47.05       47.05       45.80       47.05       51.70       42.35       46.35       62          637
2449        京元電子    34.75       34.80       34.00       34.25       37.65       30.85       34.00       727         9496
2451        創見        79.50       80.20       79.30       79.40       87.30       71.50       79.40       46          642
2454        聯發科      380.00      382.50      376.50      385.00      423.50      346.50      378.50      529         7348
2458        義隆        86.60       88.90       85.80       87.80       96.50       79.10       87.80       283         5983
2481        強茂        25.60       25.65       25.25       25.70       28.25       23.15       25.40       79          1180
3006        晶豪科      35.80       36.25       35.80       36.10       39.70       32.50       35.95       110         1673
3014        聯陽        46.75       51.00       46.65       46.55       51.20       41.90       50.20       299         10200
3016        嘉晶        55.20       56.30       53.50       55.60       61.10       50.10       53.50       571         6255
3034        聯詠        204.00      205.50      203.00      204.50      224.50      184.50      203.50      258         3906
3035        智原        45.65       45.75       45.05       45.90       50.40       41.35       45.05       134         1331
3041        揚智        17.85       18.30       17.80       17.90       19.65       16.15       18.05       202         2170
3054        立萬利      24.10       24.10       23.80       24.00       26.40       21.60       23.80       2           21
3094        聯傑        19.05       20.10       18.80       19.20       21.10       17.30       19.90       55          1225
3189        景碩        52.10       53.10       52.00       52.50       57.70       47.25       52.70       139         2358
3257        虹冠電      54.80       54.80       53.80       54.20       59.60       48.80       54.00       3           33
3413        京鼎        163.00      164.50      160.50      165.00      181.50      148.50      161.00      46          607
3443        創意        231.00      235.00      231.00      229.50      252.00      207.00      235.00      121         1162
3530        晶相光      112.50      114.50      111.00      113.50      124.50      102.50      114.00      208         2554
3532        台勝科      142.00      144.50      140.00      146.00      160.50      131.50      142.00      127         1669
3536        誠創        4.68        4.68        4.32        4.66        5.12        4.20        -           -           14
3545        敦泰        30.95       33.65       30.95       31.00       34.10       27.90       33.05       616         26898
3583        辛耘        53.50       53.50       52.40       53.50       58.80       48.15       52.50       13          185
3588        通嘉        28.50       29.15       28.50       28.50       31.35       25.65       29.00       7           267
3661        世芯-KY     232.50      241.50      232.50      235.00      258.50      211.50      240.00      582         6214
3686        達能        4.35        4.38        4.28        4.37        4.80        3.94        4.38        10          38
3711        日月光投控  72.60       72.70       71.10       73.60       80.90       66.30       71.50       772         8358
4919        新唐        42.10       43.35       41.95       42.00       46.20       37.80       42.90       94          3132
4952        凌通        30.55       33.25       30.55       30.80       33.85       27.75       32.50       23          531
4961        天鈺        32.30       32.35       32.00       32.45       35.65       29.25       32.15       8           420
4967        十銓        46.75       47.95       46.20       47.10       51.80       42.40       46.50       507         5829
4968        立積        167.50      171.00      166.00      167.00      183.50      150.50      170.00      450         7759
5269        祥碩        870.00      907.00      856.00      882.00      970.00      794.00      900.00      103         1228
5285        界霖        54.50       54.80       53.80       54.50       59.90       49.05       53.80       3           91
5305        敦南        40.75       40.80       40.70       40.75       44.80       36.70       40.75       21          193
5471        松翰        42.50       46.20       42.30       42.00       46.20       37.80       46.20       376         33774
6202        盛群        72.00       76.60       71.40       70.20       77.20       63.20       74.00       448         15516
6239        力成        103.50      105.00      103.50      105.00      115.50      94.50       103.50      241         2511
6243        迅杰        8.92        9.10        8.63        9.09        9.99        8.19        9.00        4           111
6257        矽格        36.40       36.70       36.20       36.90       40.55       33.25       36.40       292         4278
6271        同欣電      149.50      151.00      146.00      152.00      167.00      137.00      147.00      169         3774
6415        矽力-KY     1140.00     1160.00     1060.00     1085.00     1190.00     977.00      1095.00     48          1037
6451        訊芯-KY     125.00      126.00      123.00      126.50      139.00      114.00      123.00      158         1434
6525        捷敏-KY     58.30       58.70       57.60       59.00       64.90       53.10       58.20       2           190
6531        愛普        133.50      139.50      132.00      135.00      148.50      121.50      136.00      282         4513
6533        晶心科      107.00      107.50      105.50      108.00      118.50      97.20       105.50      14          259
6552        易華電      71.70       71.70       70.80       71.70       78.80       64.60       70.90       19          280
6573        虹揚-KY     19.80       20.00       19.65       19.80       21.75       17.85       19.70       1           39
8016        矽創        161.50      164.00      160.50      162.00      178.00      146.00      162.50      120         2439
8028        昇陽半導體  61.40       62.30       61.40       61.80       67.90       55.70       61.60       74          848
8081        致新        112.50      115.50      112.00      114.50      125.50      103.50      115.00      30          908
8110        華東        10.40       10.40       10.25       10.45       11.45       9.41        10.30       30          560
8131        福懋科      40.55       41.00       40.30       40.85       44.90       36.80       40.80       44          676
8150        南茂        29.85       30.70       29.80       30.10       33.10       27.10       30.55       221         4397
8261        富鼎        25.65       26.00       25.60       26.05       28.65       23.45       25.65       17          247
8271        宇瞻        47.80       49.40       46.90       46.65       51.30       42.00       47.65       855         26806
2301        光寶科      44.75       44.80       44.10       44.85       49.30       40.40       44.35       741         7056
